Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A469089,STRAY,10/20/2020,*KEBE,CAT,1 YEAR 2 MONTHS,SMALL,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469089&location=MONT,"1200 QUAIL WOODS DR, GERMANTOWN MD 20874"
A465227,CONFISCATE,07/10/2020,BUDDY,CAT,10 YEARS,MED,ORANGE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465227&location=MONT,
A470203,OWNER SUR,11/21/2020,SAMMY,OTHER,9 YEARS,MED,GREEN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470203&location=MONT,
A402108,OWNER SUR,10/30/2020,SHELDON,CAT,8 YEARS,MED,GRAY TAB / WHITE,DOMESTIC SH / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A402108&location=MONT,
A468154,RETURN,11/24/2020,PRIEST,DOG,5 YEARS,MED,BLACK,AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468154&location=MONT,
A468807,OWNER SUR,10/13/2020,PI,CAT,10 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468807&location=MONT,
A456062,OWNER SUR,11/08/2019,ARISTURTLE,OTHER,NO AGE,LARGE,BROWN,TURTLE / REDEARED SLIDER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A456062&location=MONT,
A460210,TRANSFER,02/01/2020,HOMER,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460210&location=MONT,
A469466,OWNER SUR,10/31/2020,DIVA,CAT,10 YEARS,MED,GRAY TAB / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469466&location=MONT,
A379375,OWNER SUR,11/29/2020,ROSIE,CAT,7 YEARS,LARGE,WHITE / BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A379375&location=MONT,
